Date,Open,High,Low,Close,Adj_Close,Volume,Empty_col_H,MA_Price_200_day,MA_Price_50_day,MA_Price_20_day,MA_Price_10_day,MA_Volume_50_day
01/25/2022,197.199997,199.875000,193.389999,194.770004,194.770004,3844075,-,206.848122,221.619422,220.309001,212.948000,2215719.5
01/24/2022,195.830002,203.470001,188.070007,203.070007,203.070007,3738900,-,206.905719,222.094899,222.209501,215.653999,2231632.0
01/21/2022,197.330002,207.729996,196.800003,199.949997,199.949997,3810800,-,206.928016,222.307023,223.423501,217.479999,2202094.0
01/20/2022,208.000000,211.770004,199.410004,199.610001,199.610001,2885000,-,206.966012,222.717801,224.764001,220.181000,2158382.0
01/19/2022,217.940002,220.449997,210.779999,210.949997,210.949997,1888300,-,207.020243,223.175875,226.002000,222.677000,2177274.0
01/18/2022,220.000000,221.169998,216.740005,217.419998,217.419998,2348200,-,207.021592,223.430490,226.337000,224.869000,2196224.0
01/14/2022,218.710007,225.389999,218.070007,225.289993,225.289993,1722900,-,206.999471,223.456159,226.401501,226.249001,2195786.0
01/13/2022,231.990005,232.360001,220.600006,221.860001,221.860001,2911000,-,206.905162,223.255004,226.034501,226.498001,2228906.0
01/12/2022,229.059998,231.399994,225.860001,229.020004,229.020004,1263000,-,206.794571,222.938517,226.410501,227.172002,2230508.0
01/11/2022,222.669998,227.750000,220.759995,227.539993,227.539993,1755300,-,206.630471,222.450303,225.959001,227.322002,2273628.0
01/10/2022,220.050003,222.139999,214.699997,221.830002,221.830002,1926500,-,206.455766,221.906506,225.643351,227.670003,2270614.0
01/07/2022,228.000000,229.990005,219.880005,221.330002,221.330002,1760200,-,206.333718,221.457757,225.846108,228.765002,2270702.0
01/06/2022,225.500000,228.759995,224.110001,226.960007,226.960007,1957800,-,206.176025,220.869589,226.009031,229.367003,2293146.0
01/05/2022,231.750000,234.279999,224.259995,224.570007,224.570007,1963500,-,205.970191,220.243430,226.036581,229.347002,2308122.0
01/04/2022,232.410004,234.899994,225.460007,232.869995,232.869995,1965000,-,205.797836,219.747661,226.722758,229.327000,2296662.0
01/03/2022,228.389999,233.369995,228.070007,231.220001,231.220001,1519300,-,205.627532,219.078711,226.264793,227.805000,2293952.0
12/31/2021,229.149994,231.500000,227.350006,227.779999,227.779999,1022900,-,205.473613,218.469094,226.030965,226.554001,2297338.0
12/30/2021,230.529999,232.600006,228.300003,228.600006,228.600006,886400,-,205.319781,217.853866,225.750196,225.571001,2318888.0
12/29/2021,230.389999,233.369995,229.899994,230.520004,230.520004,1117000,-,205.210212,217.210867,225.441892,225.649001,2343168.0
12/28/2021,233.809998,234.419998,228.580002,231.020004,231.020004,1362100,-,205.063464,216.435906,225.055543,224.596001,2361392.0
12/27/2021,228.649994,232.850006,227.600006,232.779999,232.779999,1235800,-,204.899979,215.602070,224.673119,223.616699,2369600.0
12/23/2021,226.759995,229.190002,226.259995,227.350006,227.350006,920300,-,204.646147,214.718869,223.629655,222.927214,2398530.0
12/22/2021,223.050003,226.880005,221.710007,226.759995,226.759995,1057900,-,204.441623,213.824574,223.285601,222.651059,2435434.0
12/21/2021,221.550003,224.699997,219.050003,224.369995,224.369995,1603700,-,204.200139,212.943874,222.875790,222.726160,2474696.0
12/20/2021,215.490005,219.690002,214.610001,217.649994,217.649994,1336100,-,203.987370,212.165834,222.722630,224.118517,2485502.0
12/17/2021,216.240005,222.539993,214.449997,218.710007,218.710007,4657400,-,203.744799,211.609372,222.875047,224.724585,2486664.0
12/16/2021,228.839996,229.309998,217.649994,217.949997,217.949997,3223800,-,203.545889,211.102330,222.940549,225.507930,2423806.0
12/15/2021,221.339996,229.619995,218.779999,229.380005,229.380005,2565700,-,203.283422,210.551638,222.905904,225.929391,2396276.0
12/14/2021,218.910004,221.630005,216.750000,219.990005,219.990005,1687300,-,203.006879,209.786910,222.372075,225.234784,2389888.0
12/13/2021,228.380005,228.380005,220.059998,221.789993,221.226990,1966600,-,202.808345,209.156517,222.129200,225.515085,2407176.0
12/10/2021,228.559998,228.880005,223.029999,226.460007,225.885147,1751500,-,202.628501,208.579984,221.931205,225.729539,2435474.0
12/09/2021,225.350006,228.559998,224.750000,225.160004,224.588455,1990800,-,202.401875,207.969737,221.564140,224.332095,2447306.0
12/08/2021,229.009995,229.800003,221.089996,228.089996,227.511002,3880100,-,202.161803,207.442878,221.018527,223.920143,2447022.0
12/07/2021,228.990005,239.910004,228.000000,238.899994,238.293564,2934400,-,201.945148,207.005989,220.667421,223.025420,2413458.0
12/06/2021,227.800003,228.309998,217.429993,224.279999,223.710678,2223600,-,201.649211,206.562917,219.878429,221.326743,2376166.0
12/03/2021,225.000000,228.460007,221.559998,227.119995,226.543457,2743300,-,201.448591,206.411104,219.876933,221.025508,2353632.0
12/02/2021,220.270004,225.899994,218.179993,222.729996,222.164612,1934800,-,201.263381,206.196251,219.484931,220.373169,2327378.0
12/01/2021,227.339996,234.679993,222.710007,223.000000,222.433929,3222500,-,201.071826,206.003741,219.138313,219.882417,2323374.0
11/30/2021,222.699997,227.820007,218.300003,223.360001,222.793015,5141600,-,200.897768,205.665800,218.318400,219.509366,2289408.0
11/29/2021,216.750000,224.259995,215.100006,223.940002,223.371536,2412900,-,200.750301,205.255245,217.409214,218.743315,2245764.0
11/26/2021,213.119995,217.559998,210.250000,212.449997,211.910706,1776500,-,200.594798,204.963787,216.258144,218.132870,2295062.0
11/24/2021,216.600006,221.220001,214.320007,221.029999,220.468933,1630900,-,200.494670,204.975358,215.632236,218.796184,2289590.0
11/23/2021,221.410004,224.089996,215.570007,219.119995,218.563766,2070000,-,200.321584,204.801999,214.204869,218.116911,2285268.0
11/22/2021,222.309998,225.660004,219.440002,221.869995,221.306793,2846000,-,200.158716,204.649586,213.059285,218.309422,2271974.0
11/19/2021,220.580002,221.809998,219.639999,221.259995,220.698334,2124200,-,199.982529,204.496716,211.983024,218.430116,2243384.0
11/18/2021,218.759995,220.669998,216.360001,220.580002,220.020065,2494200,-,199.779068,204.303287,210.919231,218.728358,2237610.0
11/17/2021,219.259995,219.259995,215.669998,217.809998,217.257095,1376500,-,199.576327,204.090395,209.955185,218.596693,2236686.0
11/16/2021,215.199997,219.970001,214.399994,219.259995,218.703415,1497200,-,199.351052,203.886203,208.943261,218.394209,2243974.0
11/15/2021,221.000000,221.000000,215.190002,215.679993,215.132507,2003200,-,199.133927,203.747397,207.830593,217.127434,2250476.0
11/12/2021,219.580002,220.539993,214.410004,217.820007,217.267090,2829000,-,198.906565,203.682595,206.662566,216.075113,2246686.0
11/11/2021,223.259995,223.339996,214.149994,219.100006,218.543839,4639700,-,198.613833,203.553613,205.265620,214.383417,2227230.0
11/10/2021,218.460007,220.190002,212.770004,214.220001,213.676208,2262000,-,198.333807,203.390938,203.769427,212.468289,2185474.0
11/09/2021,223.240005,223.380005,218.339996,221.050003,220.488876,1625200,-,198.059474,203.397842,202.217377,210.292827,2243368.0
11/08/2021,223.660004,227.500000,221.259995,223.080002,222.513733,3829600,-,197.791582,203.517403,200.329183,207.809148,2233876.0
11/05/2021,220.000000,224.789993,219.949997,224.250000,223.680756,2835800,-,197.541607,203.573983,198.476897,205.535931,2192208.0
11/04/2021,215.990005,219.429993,215.000000,219.259995,218.703415,2326300,-,197.275312,203.522263,196.784204,203.110104,2182116.0
11/03/2021,207.490005,217.130005,206.720001,215.779999,215.232254,3378900,-,197.040432,203.481548,195.516930,201.313676,2173772.0
11/02/2021,205.520004,208.470001,203.179993,206.559998,206.035660,2991100,-,196.827210,203.445194,194.276087,199.492313,2139956.0
11/01/2021,202.619995,206.580002,202.009995,205.130005,204.609299,3419000,-,196.662493,203.515373,193.531483,198.533752,2114916.0
10/29/2021,197.740005,201.809998,197.220001,200.860001,200.350128,1604600,-,196.491160,203.502059,192.724535,197.250018,2073038.0
10/28/2021,194.339996,200.130005,194.139999,199.899994,199.392563,1930900,-,196.379598,203.534532,192.327047,196.147823,2088390.0
10/27/2021,193.720001,195.179993,190.839996,192.410004,191.921585,2882400,-,196.260065,203.602075,192.126058,195.070564,2080506.0
10/26/2021,201.080002,201.160004,193.770004,196.149994,195.652084,2706600,-,196.171260,203.872360,192.442253,194.141928,2068476.0
10/25/2021,200.660004,202.130005,199.779999,200.289993,199.781570,1390500,-,196.049609,204.200947,192.942979,192.849219,2045210.0
10/22/2021,201.580002,203.429993,199.880005,199.929993,199.422485,1829500,-,195.916311,204.488330,193.760898,191.417862,2045830.0
10/21/2021,196.300003,201.520004,196.000000,201.250000,200.739136,1688600,-,195.784611,204.768369,194.595773,190.458304,2057218.0
10/20/2021,196.559998,199.789993,194.789993,197.520004,197.018616,2100400,-,195.615319,205.099475,195.348857,189.720183,2052954.0
10/19/2021,192.830002,197.130005,191.520004,196.949997,196.450058,2100400,-,195.449546,205.481911,196.124882,189.059862,2042240.0
10/18/2021,188.210007,192.320007,187.149994,192.259995,191.771957,2028200,-,195.268664,205.872734,196.579225,188.529213,2043178.0
10/15/2021,190.389999,191.729996,189.100006,189.809998,189.328171,1772500,-,195.096187,206.290265,197.103890,188.199052,2027808.0
10/14/2021,187.000000,189.940002,186.759995,189.100006,188.619980,2682300,-,194.937809,206.739759,198.077413,188.506271,2027916.0
10/13/2021,184.419998,186.220001,182.410004,183.100006,182.635223,2765500,-,194.765761,207.194065,199.270876,189.181552,2010628.0
10/12/2021,187.149994,187.750000,182.339996,183.190002,182.724991,3021000,-,194.634814,207.730262,200.729163,190.742578,1996966.0
10/11/2021,189.339996,191.160004,185.740005,185.940002,185.468002,2144000,-,194.499263,208.233824,202.140072,193.036739,2004224.0
10/08/2021,194.509995,194.669998,189.990005,190.309998,189.826904,1394200,-,194.347674,208.630993,203.549834,196.103934,1994054.0
10/07/2021,193.509995,197.369995,193.509995,193.850006,193.357925,1514500,-,194.171916,208.898802,204.609834,198.733243,1999596.0
10/06/2021,188.669998,191.940002,188.410004,190.899994,190.415405,1847300,-,193.981717,208.982777,205.410711,200.977531,2004364.0
10/05/2021,190.690002,193.589996,188.679993,191.630005,191.143570,2246300,-,193.798714,209.039449,206.242316,203.189902,2007914.0
10/04/2021,193.710007,193.940002,187.910004,188.949997,188.470352,2551700,-,193.624681,209.159354,207.273293,204.629237,1993704.0
10/01/2021,196.330002,197.279999,191.000000,192.889999,192.400360,3381500,-,193.460157,209.296711,208.444396,206.008728,1981338.0
09/30/2021,200.570007,201.490005,195.710007,195.869995,195.372787,2343100,-,193.289731,209.314877,209.365278,207.648555,1952236.0
09/29/2021,202.910004,203.789993,197.860001,198.750000,198.245483,1976600,-,193.096530,209.359351,210.117143,209.360199,1943192.0
09/28/2021,212.649994,214.000000,205.949997,206.190002,205.666595,2201900,-,192.880386,209.240717,210.905939,210.715749,1939602.0
09/27/2021,214.199997,218.139999,212.720001,216.690002,216.139954,1069800,-,192.632908,208.880346,211.945955,211.243405,1947418.0
09/24/2021,215.009995,218.020004,214.029999,216.669998,216.119995,1096900,-,192.328376,208.340153,212.406094,210.995735,1972868.0
09/23/2021,214.149994,218.080002,213.009995,216.350006,215.800812,1430600,-,192.068594,207.885917,212.654832,210.486424,2030082.0
09/22/2021,207.809998,213.270004,207.110001,213.080002,212.539108,1734600,-,191.804093,207.619922,212.698176,209.843890,2033722.0
09/21/2021,204.660004,207.770004,203.009995,206.059998,205.536926,1524200,-,191.550473,207.428115,212.741947,209.294731,2033200.0
09/20/2021,204.910004,205.000000,198.940002,202.779999,202.265259,2959400,-,191.306209,207.384509,212.942330,209.917348,2044524.0
09/17/2021,211.630005,212.190002,207.910004,209.330002,208.798630,4877800,-,191.086938,207.325555,213.026247,210.880064,2013028.0
09/16/2021,211.029999,213.710007,208.789993,213.029999,212.489227,1502900,-,190.827796,207.049183,212.685006,211.082001,1954082.0
09/15/2021,212.669998,212.699997,209.970001,212.339996,211.800980,1414800,-,190.546945,206.745956,212.199029,210.874088,1965606.0
09/14/2021,216.110001,216.320007,211.149994,211.479996,210.943161,1405300,-,190.272101,206.523944,211.880773,211.096129,1980028.0
09/13/2021,214.429993,216.259995,211.679993,214.770004,213.663254,1416500,-,189.995280,206.338787,211.937686,212.648505,1975866.0
09/10/2021,212.940002,216.500000,212.000000,212.119995,211.026886,1835500,-,189.708806,206.081917,211.962059,213.816454,1978568.0
09/09/2021,209.830002,211.910004,209.000000,210.460007,209.375473,2448000,-,189.422883,205.954577,212.081938,214.823241,1985216.0
09/08/2021,211.940002,212.740005,207.250000,208.119995,207.047516,1740900,-,189.118871,205.899662,212.477886,215.552461,1972302.0
09/07/2021,213.449997,213.490005,211.360001,212.860001,211.763092,1822300,-,188.830348,205.861061,212.932531,216.189163,1976110.0
09/03/2021,213.089996,215.380005,212.300003,212.990005,211.892426,1813700,-,188.502458,205.688157,213.143935,215.967313,2202460.0
09/02/2021,212.919998,213.229996,210.710007,211.910004,210.817993,1856200,-,188.180040,205.505901,213.181739,215.172430,2217592.0
09/01/2021,215.449997,215.860001,211.449997,211.500000,210.410095,2551900,-,187.865954,205.252016,213.230983,214.288011,2213908.0
08/31/2021,222.250000,222.250000,209.800003,215.130005,214.021393,5156700,-,187.536640,204.971469,213.277243,213.523970,2195790.0
08/30/2021,227.339996,228.720001,225.550003,227.639999,226.466919,1150600,-,187.178465,204.639787,213.048428,212.665417,2138902.0
08/27/2021,222.770004,226.880005,221.990005,226.509995,225.342743,1746200,-,186.761861,203.952547,212.120236,211.226868,2211822.0
08/26/2021,217.240005,223.380005,215.630005,222.240005,221.094757,2331200,-,186.327048,203.393841,211.119421,210.107664,2212524.0
08/25/2021,216.000000,219.080002,215.289993,217.789993,216.667679,1909100,-,185.936268,202.956506,210.225551,209.340636,2206252.0
08/24/2021,212.279999,215.059998,211.830002,214.520004,213.414536,1688100,-,185.576801,202.662032,209.270001,209.403311,2209498.0
08/23/2021,206.339996,211.309998,206.339996,210.630005,209.544586,1739100,-,185.222054,202.444160,208.261723,209.675899,2217728.0
08/20/2021,202.699997,205.229996,202.350006,205.000000,203.943604,1325100,-,184.861989,202.243937,207.641437,210.320558,2219164.0
08/19/2021,200.750000,203.419998,199.610001,203.020004,201.973801,2372200,-,184.527462,202.154146,207.211166,211.191048,2240086.0
08/18/2021,206.500000,208.070007,203.600006,203.820007,202.769684,1536700,-,184.195038,202.030935,206.777909,212.173955,2231422.0
08/17/2021,211.279999,211.770004,204.600006,206.500000,205.435867,2280900,-,183.847830,201.909067,206.519248,213.030516,2267140.0
